iter	Passed	Remaining
0	4	435
1	8	405
2	12	403
3	15	374
4	19	377
5	24	378
6	28	376
7	32	371
8	36	371
9	40	362
10	43	353
11	47	347
12	51	344
13	54	337
14	58	333
15	62	329
16	66	325
17	70	320
18	74	315
19	77	311
20	81	307
21	85	302
22	89	298
23	92	293
24	96	290
25	100	285
26	104	282
27	108	277
28	111	273
29	115	269
30	119	265
31	122	261
32	126	256
33	130	252
34	133	248
35	137	244
36	141	241
37	146	238
38	149	233
39	153	229
40	156	225
41	158	218
42	162	215
43	166	211
44	170	207
45	174	204
46	177	200
47	181	196
48	185	192
49	188	188
50	192	184
51	196	181
52	200	177
53	204	173
54	206	169
55	210	165
56	213	160
57	215	156
58	218	151
59	220	147
60	223	142
61	226	138
62	228	134
63	231	130
64	233	125
65	236	121
66	238	117
67	241	113
68	243	109
69	246	105
70	249	101
71	251	97
72	254	94
73	257	90
74	260	86
75	263	83
76	265	79
77	268	75
78	271	72
79	273	68
80	276	64
81	278	61
82	281	57
83	283	54
84	286	50
85	288	47
86	291	43
87	293	40
88	296	36
89	298	33
90	301	29
91	303	26
92	306	23
93	309	19
94	311	16
95	314	13
96	316	9
97	319	6
98	321	3
99	324	0
